,ItemName,ItemCode,2022-06-17,2022-06-18,2022-06-19,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,2022-06-27,2022-06-28,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28,2022-07-29,2022-07-30,2022-07-31,2022-08-01,2022-08-02,2022-08-03,2022-08-04,2022-08-05
17,שוק.מריר לינדט 90% 100ג,3046920029759,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.90
18,שוק.מריר לינדט70%מילד100,3046920029780,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,,,,,,,
19,אירויק ספריי וניל 240 מל,3059940007768,9.9,11.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,,,,,,,,,,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,,,,,,,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.90
20,מטהר נטול גז יסמין345מל,3059943015104,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,,,,,,,,,,
21,מותכת לה וואש קירי 8 יח,3073781161663,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.90
22,לה וואש קירי מותכת 16יח,3073781161687,22.9,22.9,22.9,22.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.90
23,איטריות אורז ומיצ'לי454ג,308910525744,11.9,,,,,,,,,,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.90
24,שוקולד מריר 72% סטיקס90ג,31290140107,15.9,15.9,15.9,15.9,15.9,,,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.90
25,חמאה רכה 250 גרם,3161911229199,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,,,,,,,,,,,,,,,,,,,,,23.50
26,חמאה מלוחה רכה 250גרם,3161911366429,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,21.1,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,
27,בראוניז אישי שוקולד30*7ג,3178530417340,19.7,19.7,19.7,19.7,19.7,19.7,,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,,,,,,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.70
28,בראוניז אישי לבן 30*7ג,3178530417357,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,,,,,,,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.70
29,מים מינרלים מוגז פרייה1ל,3179732348913,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,,,,,,,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.9,9.90
30,חמאה פרזידנט 200 גרם,3228022910023,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.9,16.90
31,גבינת קממבר צרפתית 250גר,3254550033279,24.9,24.9,24.9,24.9,,,,,,,,,,,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,,,,,,,,,,,,,
32,דגני בוקר פיטנס+פירות375,3387390320244,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.90
33,דגני בוקר פיטנס 375 גרם,3387390730852,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.90
34,טוויזלרס ממתק טעם תות198,34000544028,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,,,,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.80
35,גבינת בושה עיזים טבעי125,3523230025638,20.9,24.9,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,22.0,22.0,22.0,22.0,22.0,22.0,29.9,29.9,29.9,,,,,,,,29.90
36,"שרדונה לה ג'אמל 750 מ""ל",3525490011093,54.9,64.9,54.9,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"מלבק לה ג'אמל 750 מ""ל",3525490011109,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.9,54.9,54.9,54.9,54.9,54.9,54.9,54.9,,,,
38,טמפוני או בה נורמל 32 יח,3574660089547,22.9,25.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.9,,,,,,,,,,,,,,,,,,,22.9,22.9,22.9,25.9,22.9,22.9,22.9,22.9,,,,,,,22.9,22.9,22.90
39,ויזבל קליר תרחיץ יומי200,3574661333564,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,,,,,,,,,,,,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,,,,,,,,,,,,,,,,,,,,,,
40,מגן תחתון קרפרי 56 יח',3574661487328,14.9,14.9,14.9,14.9,,,,,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,,,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,,
41,מי פה ליסטרין וייט 500מל,3574661491806,24.9,26.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,,,,,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,,,,,,,,,,,24.9,24.9,26.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.90
42,קלינקס לושן 3 שכבות 75יח,36000516876,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.90
43,קלינקס לושן 3 שכבות120יח,36000516890,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,שמפו אלביב ארג'ינין500מל,3600523651870,17.9,17.9,,,,,,,,,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,,,,,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.90
45,אלביב שמפו טוטל ריפר550מ,3600523651887,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,מרכך  אלביב ארג'ינין,3600523651900,17.9,17.9,17.9,17.9,,,,,,,,,,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,,,,,,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,,,,,,,,,,,
47,שמפו אלביב 6 שמנים,3600523652280,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,,,,,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.90
48,שמפו אלביב דרים לונג500מ,3600523782567,17.9,17.9,17.9,17.9,17.9,,,,,,,,,,,,,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,,,,,,,,,,,17.9,,17.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,,15.9,15.9,15.90
49,מרכך אלביב דרים לונג,3600523782581,17.9,17.9,17.9,17.9,17.9,,,,,,,,,,,,,,,,,,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,,,,
50,דאו ספריי אקשן קונטרול,3600541740006,11.9,11.9,11.9,11.9,11.9,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,,,,,11.9,11.9,11.9,11.9,11.90
51,דאו רול אקשן  72 שעות 50,3600542385091,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,,,,,,,,,,,,,,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.90
52,פרוקטיס היירפוד מרכך בננ,3600542421676,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,פרוקטיס היירפוד שמפו בננ,3600542421683,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,17.90
54,דאו.אדידס A3 אינטנסיב200,3661163990545,14.9,14.9,14.9,14.9,,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,,,,,,,14.9,14.9,14.9,14.9,14.9,14.9,14.9,,,,,,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,,,,14.90
55,חמאת בוטנים קלאסי 462גרם,37600207188,20.9,20.9,20.9,20.9,,,,,,,,,,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.90
56,חמאת בוטנים+שברי בוטנ462,37600207256,20.9,20.9,20.9,20.9,20.9,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,פרינגלס פיצה 158 גרם,38000138638,10.6,10.6,,,,,,,,,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,,,10.6,10.6,10.6,10.6,10.6,10.6,10.60
58,חטיף פרינגלס מגה 194גרם,38000169663,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.90
59,קיט קאט צ'אנקי חלב 40גרם,3800020423578,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,,,,,,,,,,,,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.50
60,פרינגלס ברביקיו 158 גרם,38000232152,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.60
61,פרינגלס מידי אורגינל67ג,38000232169,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.90
62,פרינגלס שמנת בצל 158 גרם,38000232176,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.60
63,פרינגלס אורגינל 149 גרם,38000232183,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,,,,,,,,,,,,,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.60
64,פרינגלס מידי שמנת בצל71ג,38000845253,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.90
65,דגנים מרובעים קינמון412ג,38527591053,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,19.9,19.9,19.9,19.9,19.9,19.9,19.9,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.70
66,דגנים מרובעים קוואקר412ג,38527591060,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,19.9,19.9,19.9,19.9,19.9,19.9,19.9,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.70
67,עדשי מ&מ'ס קריספי38גרם,40000494805,5.5,,,,,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,מ&מ'ס שוקולד 303 גרם,40000512943,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,,,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.90
69,עדשי מ&מ'ס שוקולד 48 גרם,40000514480,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.50
70,עדשי מ&מ'ס בוטנים 49 גרם,40000514510,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,,,,,,,,,,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,,,,,5.5,5.50
